Result Time,Granularity Period,Object Name,Reliability,"AMR TRAFFIC VOLUME","PS TRAFFIC VOLUME"
,Minutes,,,MB,MB
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=COW_INTER_CUMBAYA3, CellID=49313",Reliable,0.699,0.009
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=AGUA_CLARA2, CellID=40772",Reliable,0.882,0.017
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=AGUA_CLARA1, CellID=40771",Reliable,0.689,0.003
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=SHYRIS3, CellID=41883",Reliable,0,0.006
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=SHYRIS2, CellID=41882",Reliable,0.395,0.001
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=SHYRIS1, CellID=41881",Reliable,0.553,0.006
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LA_GIRALDA3, CellID=41403",Reliable,1.914,0.014
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LA_GIRALDA2, CellID=41402",Reliable,0.109,0.008
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LA_GIRALDA1, CellID=41401",Reliable,0.136,0.001
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=MEDITROPOLI3, CellID=41593",Reliable,0.197,0.001
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=MEDITROPOLI2, CellID=41592",Reliable,0.469,0.009
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=MEDITROPOLI1, CellID=41591",Reliable,1.461,0.001
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LA_GASCA3, CellID=41393",Reliable,0.139,0.001
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LA_GASCA2, CellID=41392",Reliable,0.084,0
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LA_GASCA1, CellID=41391",Reliable,0.13,0.001
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=BELLAVISTA_ALTA3, CellID=40823",Reliable,0.672,0
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=BELLAVISTA_ALTA2, CellID=40822",Reliable,0.08,0.014
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=BELLAVISTA_ALTA1, CellID=40821",Reliable,0.359,0.006
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=COW_INTER_CUMBAYA2, CellID=49312",Reliable,0.028,0.097
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=COW_INTER_CUMBAYA1, CellID=49311",Reliable,0.211,0.098
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=ALTOS_DEL_VALLE3, CellID=40793",Reliable,0.278,0.052
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=ALTOS_DEL_VALLE2, CellID=40792",Reliable,0.393,0.013
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=ALTOS_DEL_VALLE1, CellID=40791",Reliable,0.262,0.003
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LUMBISI3, CellID=41543",Reliable,0.977,0.062
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LUMBISI2, CellID=41542",Reliable,1.181,0.209
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=LUMBISI1, CellID=41541",Reliable,0.191,0.144
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=ATAHUALPA3, CellID=40813",Reliable,0.283,0.003
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=ATAHUALPA2, CellID=40812",Reliable,0.027,0.001
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=ATAHUALPA1, CellID=40811",Reliable,0.073,0
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=ALAMEDA3, CellID=40303",Reliable,0.087,0.001
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=ALAMEDA2, CellID=40302",Reliable,1.69,0.009
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=ALAMEDA1, CellID=40301",Reliable,0.363,0.013
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=GRANADOS2, CellID=40722",Reliable,0.034,0.022
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=GRANADOS1, CellID=40721",Reliable,0.115,0.047
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=CALDERON_QUITUS3, CellID=40883",Reliable,1.485,0.04
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=CALDERON_QUITUS2, CellID=40882",Reliable,0.318,0.004
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=CALDERON_QUITUS1, CellID=40881",Reliable,0.667,0.023
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=BUGAMBILLAS3, CellID=40863",Reliable,0.293,0.007
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=BUGAMBILLAS2, CellID=40862",Reliable,0.269,0.002
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=BUGAMBILLAS1, CellID=40861",Reliable,6.353,0.093
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=CC_SAN_MARCOS3, CellID=41873",Reliable,1.347,0.002
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=CC_SAN_MARCOS2, CellID=41872",Reliable,0.018,0
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=CC_SAN_MARCOS1, CellID=41871",Reliable,0.047,0
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=MANUEL_VALDIVIESO3, CellID=41573",Reliable,0.566,0.123
2026-01-25 15:30,30,"RNC41/BSC6900UCell:Label=MANUEL_VALDIVIESO2, CellID=41572",Reliable,0.285,0.017
